Index,COMMUNITY
0,ANTRIM
1,BALD ROCK
2,BARKHOUSE SETTLEMENT
3,BAYSIDE
4,BEAR COVE
5,BEAVER BANK
6,BEAVER DAM
7,BEAVER HARBOUR
8,BEDFORD
9,BEECH HILL
10,BEECHVILLE
11,BIG LAKE
12,BLACK POINT
13,BLIND BAY
14,BOUTILIERS POINT
15,BROOKSIDE
16,BROOKVALE
17,CARIBOU MINES
18,CARROLLS CORNER
19,CHAPLIN
20,CHASWOOD
21,CHERRY BROOK
22,CLAM BAY
23,CLAM HARBOUR
24,COLE HARBOUR
25,COLLEGE LAKE
26,CONROD SETTLEMENT
27,COOKS BROOK
28,COW BAY
29,DARTMOUTH
30,DEAN
31,DEBAIES COVE
32,DEVON
33,DUNCANS COVE
34,DUTCH SETTLEMENT
35,EAST CHEZZETCOOK
36,EAST DOVER
37,EAST JEDDORE
38,EAST LAWRENCETOWN
39,EAST LOON LAKE VILLA
40,EAST PENNANT
41,EAST PETPESWICK
42,EAST PRESTON
43,EAST QUODDY
44,EAST SHIP HARBOUR
45,EASTERN PASSAGE
46,ECUM SECUM
47,ECUM SECUM WEST
48,ELDERBANK
49,ELMSDALE
50,ELMSVALE
51,ENFIELD
52,FALL RIVER
53,FERGUSONS COVE
54,FLETCHERS LAKE
55,FRENCH VILLAGE
56,GAETZ BROOK
57,GLEN HAVEN
58,GLEN MARGARET
59,GLENMORE
60,GOFFS
61,GOODWOOD
62,GRAND DESERT
63,GRAND LAKE
64,GREENWOOD
65,HACKETTS COVE
66,HALIBUT BAY
67,HALIFAX
68,HAMMONDS PLAINS
69,HARRIETSFIELD
70,HARRIGAN COVE
71,HARTLIN SETTLEMENT
72,HATCHET LAKE
73,HEAD OF CHEZZETCOOK
74,HEAD OF JEDDORE
75,HEAD OF ST MARGARETS
76,HERRING COVE
77,HIGGINSVILLE
78,HUBBARDS
79,HUBLEY
80,INDIAN HARBOUR
81,INGRAMPORT
82,JACKET LAKE
83,KETCH HARBOUR
84,KINSAC
85,LAKE CHARLOTTE
86,LAKE ECHO
87,LAKE EGMONT
88,LAKE LOON
89,LAKE MAJOR
90,LAKESIDE
91,LAKEVIEW
92,LANTZ
93,LAWRENCETOWN
94,LEWIS LAKE
95,LINDSAY LAKE
96,LITTLE HARBOUR
97,LOCHABER MINES
98,LONG LAKE
99,LOWER EAST CHEZZETCO
100,LOWER PROSPECT
101,LOWER SACKVILLE
102,LOWER SHIP HARBOUR
103,LUCASVILLE
104,MALAY FALLS
105,MARINETTE
106,MCGRATHS COVE
107,MEAGHERS GRANT
108,MIDDLE MUSQUODOBOIT
109,MIDDLE PORTERS LAKE
110,MIDDLE SACKVILLE
111,MILFORD
112,MILL LAKE
113,MINEVILLE
114,MONTAGUE GOLD MINES
115,MOOSE RIVER GOLD MIN
116,MOOSEHEAD
117,MOOSELAND
118,MOSER RIVER
119,MURCHYVILLE
120,MURPHY COVE
121,MUSHABOOM
122,MUSQUODOBOIT HARBOUR
123,MYERS POINT
124,NECUM TEUCH
125,NEWCOMB CORNER
126,NORTH PRESTON
127,OAKFIELD
128,OLDHAM
129,OSTREA LAKE
130,OTTER LAKE
131,OWLS HEAD
132,OYSTER POND
133,PACE SETTLEMENT
134,PEGGYS COVE
135,PLEASANT HARBOUR
136,PLEASANT POINT
137,PLEASANT VALLEY
138,POPES HARBOUR
139,PORT DUFFERIN
140,PORTERS LAKE
141,PORTUGUESE COVE
142,PROSPECT
143,PROSPECT BAY
144,QUEENSLAND
145,RIVER LAKE
146,SACKVILLE
147,SALMON RIVER BRIDGE
148,SAMBRO
149,SAMBRO CREEK
150,SAMBRO HEAD
151,SEABRIGHT
152,SEAFORTH
153,SHAD BAY
154,SHEARWATER
155,SHEET HARBOUR
156,SHEET HARBOUR PASSAG
157,SHIP HARBOUR
158,SMITHS SETTLEMENT
159,SOBER ISLAND
160,SOUTH SECTION
161,SOUTHWEST COVE
162,SPRY BAY
163,SPRY HARBOUR
164,STILLWATER LAKE
165,TANGIER
166,TANTALLON
167,TERENCE BAY
168,THIRD LAKE
169,THREE FATHOM HARBOUR
170,TIMBERLEA
171,UPPER HAMMONDS PLAIN
172,UPPER LAKEVILLE
173,UPPER MUSQUODOBOIT
174,UPPER SACKVILLE
175,UPPER TANTALLON
176,WATT SECTION
177,WAVERLEY
178,WELLINGTON
179,WEST CHEZZETCOOK
180,WEST DOVER
181,WEST JEDDORE
182,WEST LOON LAKE
183,WEST PENNANT
184,WEST PETPESWICK
185,WEST PORTERS LAKE
186,WEST QUODDY
187,WESTPHAL
188,WHITES LAKE
189,WILLIAMSWOOD
190,WINDSOR JUNCTION
191,WYSES CORNER